prenatal;renda;saneamento;desemprego;analfabet;Gini;fundamental;PIB_per_capita
38.88;449.32;3.573629082;9.52;7.5;0.5555;51.44;8369.75
5.35;198.37;0.626740947;6.15;29.9;0.6732;11.48;3699.66
28.98;223.4;0.466451381;4.85;10.7;0.5657;40.03;3623.94
33.89;387.41;0.412355092;7.01;14.7;0.5348;44.31;5910.53
16.67;257.44;0.318066158;5.04;19.1;0.506;31.57;3642.26
20.29;387.07;0.643939394;7.63;22.9;0.6175;21.05;9498.88
40.17;314.7;0.382555471;11.39;18.7;0.5527;39.47;5693.37
19.19;188.14;1.201143947;6.76;20.2;0.5749;21.44;2272.44
21.73;175.96;0.075528701;3.66;13.7;0.6014;35.78;5228.3
26.22;217.92;0.517464424;8.1;8.5;0.5828;38.19;3542.37
18.11;342.6;1.23836628;12.93;16.6;0.535;37.32;5282.54
11.57;274.97;0.086902545;5.84;22.1;0.58;25.81;6288.7
23.04;176.16;0.467836257;2.71;10.2;0.5606;36.13;5374.01
15.5;275.2;0.041313778;12.54;18.6;0.6247;30.57;16274.7
21.98;229.91;0;2.52;28.7;0.5453;24.49;3627.14
9.4;292.63;0.395408163;8.38;24.5;0.5619;27.07;4838.74
13.94;188.95;0.630329996;4.28;22.4;0.568;23.08;3208.28
40.9;281.76;0.877385392;11.67;16.7;0.5731;38.17;3465.88
30.57;193.62;0.674943755;8.54;18.7;0.5343;29.23;3044.68
35.79;243.96;0.320384461;7.21;15;0.5257;35.85;3619.76
26.3;174.93;1.634159199;10.62;24.2;0.5863;19.2;6175.39
23.03;222.92;0.267129691;3.98;19;0.5868;29.41;2941.57
25.48;422.49;1.679318095;7.11;13.6;0.577;40.77;6659.57
10;221.24;1.806174411;8.67;23.4;0.6186;26.33;4254.58
10.29;287.44;0.087298123;6.82;25.3;0.6964;20.69;6658.85
23.95;379.34;2.751272265;15.28;16;0.6113;37.07;4780.71
44.72;236.69;0.893049279;8.74;9.8;0.603;38.46;11960.54
21.9;171.61;0.245499182;4.28;14.3;0.5793;30.73;3767.88
36.37;363.91;0.311614731;7.04;16.9;0.5886;33.98;5500.26
36.25;204.57;0.604229607;4.83;11.7;0.5478;37.31;3430.36
30.42;505.03;6.012537837;9.59;10.6;0.5978;49.53;15413.46
22.09;215.45;0.67766647;4.7;12.3;0.6026;32.9;3732.04
34.33;270.21;0.477540666;4.52;9.7;0.5487;40.11;3891.2
38.23;366.44;4.251197134;14.44;5.1;0.4477;57.21;5849.93
26.66;339.79;0.163309744;2.41;18.8;0.6138;27.47;5980.54
29.11;134.8;0.271672018;14.25;38.5;0.5537;11.13;2886.56
19.06;220.07;0.130792227;11.57;10.1;0.5921;34.98;3519.01
24.89;287.71;0.566353456;5.93;18.9;0.6325;28.64;3888.73
28.13;225.34;0.561020036;6.91;14.1;0.5994;36.31;5621.58
32.83;227.19;0.597609562;9.83;13;0.5671;29.11;2587.05
23.22;157.72;0.663243475;1.75;26;0.6405;21.25;3492.71
28.47;309.62;0.502911593;6.44;21.6;0.5978;29.7;4243.5
24.46;266.71;0.520976145;6.4;20.9;0.5192;36.75;3627.76
31.42;642.52;0.317781309;3.45;9.6;0.5563;39.37;8812.4
13.94;251.79;7.07444349;4.57;21.2;0.5957;26.17;4912.92
32.11;253.77;0.36431491;5.58;12.8;0.5914;35.7;5103.26
29.46;174.99;0.402267325;4.43;16.7;0.5716;21.52;3933.48
40.3;327.52;7.701309149;9.96;10.9;0.6535;41.16;19271.75
29.59;278.52;0.340632603;6.51;19.5;0.6305;31.26;3520.38
41.6;420.02;1.497386637;6.91;13;0.5812;37.7;9300.31
16.33;227.66;0.03983667;4.29;20.5;0.6628;24.29;4713.97
20.29;276.35;0.252780586;6.39;23;0.5611;33.66;4692.22
22.24;491.75;2.034685785;9.97;13.3;0.6151;42.09;12629.23
58.01;600.75;15.51046201;10.53;7.6;0.5452;58.25;103426.83
45.36;272.9;0.060753341;8.66;24.4;0.5103;31.99;6384.56
18.9;223.44;0.407424174;10.69;20.2;0.5668;33.6;3364.98
25.3;259.69;0;11.46;21.7;0.5264;26.17;7355.4
39.1;228.99;0.107836089;6.11;17.3;0.592;29.34;3552.05
30.7;248.63;9.677419355;9.52;14.7;0.6104;31.82;3395.7
15.19;190.61;0.281074329;8.5;29.8;0.6523;19.36;3637.03
13.06;186.85;1.650165017;5.27;18.9;0.5993;23.04;3222.92
31.86;181.13;0.130081301;4.11;16.3;0.682;23.66;4345.38
38.25;276.02;1.323751891;14.28;21.4;0.655;31.26;3257.69
17.49;243.59;0.196399345;9.37;22.7;0.6068;26.82;4143.53
21.7;518.53;0.281675972;7.5;11.7;0.537;45.63;8630.58
54.69;454.43;0.349175558;6.84;16.3;0.5365;35.98;11869.3
25.02;318.83;2.744315915;11.34;20.3;0.5647;32.84;5781.37
25.25;234.48;0.32161235;8.52;18.7;0.565;29.97;3339.86
19.73;383.95;1.729455827;5.98;10.4;0.5277;44.77;4466.06
24.3;279.61;0.276134122;4.96;9;0.5729;39.93;4023.21
31.1;276.46;1.00896861;11.45;8.3;0.5346;45.29;3904.68
15.8;152.12;2.465023318;11.22;11.9;0.5267;34.91;3526.78
39;377.73;0.885187857;10.09;9.7;0.5225;49.74;5322.04
23.31;215.09;0.753498385;7.82;24.3;0.5692;29.38;3405.22
20.68;248.43;0;4.44;18.8;0.5682;24.24;6012.41
28.95;318.83;0.630815329;4.77;18.5;0.5313;33.35;4657.23
31.69;307.9;0.31810295;17.71;16.5;0.4721;39.27;5631.31
33.66;398.3;1.983860601;8.71;7.3;0.5852;56.34;6964.25
31.73;196.34;1.551389787;5.6;17.1;0.5764;37.91;3829.84
19.19;317.73;0.444763271;8.27;11.7;0.531;44.72;3954.49
20.15;243.04;0.401037981;7.62;12.7;0.4889;34.52;3921.94
13.8;385.2;0.549725137;7.36;18.2;0.5917;36.22;4681.74
28.59;185.83;0.312304809;4.07;21;0.6063;26.98;3486.65
27.52;382.32;0.344411146;7.97;13.1;0.6423;32.86;5780.83
38.17;273.74;0.40660737;6.05;14.9;0.4851;38.5;4328.57
18.65;317.65;16.68375568;7.39;20.7;0.532;32.72;6133.46
33.91;196.84;0.222222222;2.28;8.3;0.5377;36.8;3657.82
17.31;211.02;0.297441999;9.5;20.7;0.5875;24.74;3735.35
21.32;214.22;0.368550369;4.73;24.4;0.5573;28.75;3791.52
28.85;297.45;0.617039791;5.44;16.2;0.5323;34.34;3915.38
25.95;202.54;0.598431696;4.32;14.8;0.546;32.91;3113.72
35.02;420.95;2.423378475;4.92;21.7;0.5336;26.78;8462.91
29.45;209.3;0.39322444;5.05;24.3;0.5661;19.72;4085.28
29.72;296.49;0.469483568;10.23;9.8;0.5322;43.2;4044.82
33.14;280.3;1.235539943;17.62;13.7;0.5509;35.57;5404.94
37.3;237.44;0.154142582;10.5;9.6;0.5642;41.21;2887.87
33.5;333.65;0.497649986;5.75;7.2;0.5931;43.55;3780.75
22.6;322.15;0.877257648;7.52;15.8;0.5456;31.99;4764.67
